Block, Grid, Size, Time
32, 1, 32, 1.000000
64, 1, 64, 1.000000
128, 1, 128, 1.000000
256, 1, 256, 2.000000
512, 1, 512, 2.000000
1024, 1, 1024, 4.000000
32, 2, 64, 1.000000
64, 2, 128, 1.000000
128, 2, 256, 1.000000
256, 2, 512, 2.000000
512, 2, 1024, 4.000000
1024, 2, 2048, 7.000000
32, 4, 128, 0.000000
64, 4, 256, 1.000000
128, 4, 512, 2.000000
256, 4, 1024, 3.000000
512, 4, 2048, 6.000000
1024, 4, 4096, 14.000000
32, 8, 256, 1.000000
64, 8, 512, 2.000000
128, 8, 1024, 3.000000
256, 8, 2048, 7.000000
512, 8, 4096, 13.000000
1024, 8, 8192, 26.000000
32, 16, 512, 2.000000
64, 16, 1024, 4.000000
128, 16, 2048, 14.000000
256, 16, 4096, 13.000000
512, 16, 8192, 26.000000
1024, 16, 16384, 52.000000
32, 32, 1024, 3.000000
64, 32, 2048, 7.000000
128, 32, 4096, 13.000000
256, 32, 8192, 26.000000
512, 32, 16384, 52.000000
1024, 32, 32768, 103.000000
32, 64, 2048, 7.000000
64, 64, 4096, 13.000000
128, 64, 8192, 31.000000
256, 64, 16384, 52.000000
512, 64, 32768, 103.000000
1024, 64, 65536, 205.000000
32, 128, 4096, 13.000000
64, 128, 8192, 26.000000
128, 128, 16384, 52.000000
256, 128, 32768, 104.000000
512, 128, 65536, 205.000000
1024, 128, 131072, 427.000000
