A, Index, Time
1, 1, 301
2, 2, 34
3, 3, 34
4, 4, 34
5, 5, 36
6, 6, 34
7, 7, 34
8, 8, 34
9, 9, 193
10, 10, 34
11, 11, 34
12, 12, 34
13, 13, 36
14, 14, 34
15, 15, 34
16, 16, 34
17, 17, 192
18, 18, 34
19, 19, 34
20, 20, 34
21, 21, 36
22, 22, 34
23, 23, 34
24, 24, 34
25, 25, 192
26, 26, 34
27, 27, 34
28, 28, 34
29, 29, 36
30, 30, 34
31, 31, 34
32, 32, 34
33, 33, 192
34, 34, 34
35, 35, 34
36, 36, 34
37, 37, 36
38, 38, 34
39, 39, 34
40, 40, 34
41, 41, 193
42, 42, 34
43, 43, 34
44, 44, 34
45, 45, 36
46, 46, 34
47, 47, 34
48, 48, 34
49, 49, 193
50, 50, 34
51, 51, 34
52, 52, 34
53, 53, 36
54, 54, 34
55, 55, 34
56, 56, 34
57, 57, 193
58, 58, 34
59, 59, 34
60, 60, 34
61, 61, 36
62, 62, 34
63, 63, 34
64, 64, 34
65, 65, 188
66, 66, 34
67, 67, 34
68, 68, 34
69, 69, 36
70, 70, 34
71, 71, 34
72, 72, 34
73, 73, 188
74, 74, 34
75, 75, 34
76, 76, 34
77, 77, 36
78, 78, 34
79, 79, 34
80, 80, 34
81, 81, 188
82, 82, 34
83, 83, 34
84, 84, 34
85, 85, 36
86, 86, 34
87, 87, 34
88, 88, 34
89, 89, 189
90, 90, 34
91, 91, 34
92, 92, 34
93, 93, 36
94, 94, 34
95, 95, 34
96, 96, 34
97, 97, 189
98, 98, 34
99, 99, 34
100, 100, 34
101, 101, 36
102, 102, 34
103, 103, 34
104, 104, 34
105, 105, 190
106, 106, 34
107, 107, 34
108, 108, 34
109, 109, 36
110, 110, 34
111, 111, 34
112, 112, 34
113, 113, 189
114, 114, 34
115, 115, 34
116, 116, 34
117, 117, 36
118, 118, 34
119, 119, 34
120, 120, 34
121, 121, 189
122, 122, 34
123, 123, 34
124, 124, 34
125, 125, 36
126, 126, 34
127, 127, 34
128, 128, 34
129, 129, 193
130, 130, 34
131, 131, 34
132, 132, 34
133, 133, 36
134, 134, 34
135, 135, 34
136, 136, 34
137, 137, 193
138, 138, 34
139, 139, 34
140, 140, 34
141, 141, 36
142, 142, 34
143, 143, 34
144, 144, 34
145, 145, 193
146, 146, 34
147, 147, 34
148, 148, 34
149, 149, 36
150, 150, 34
151, 151, 34
152, 152, 34
153, 153, 191
154, 154, 34
155, 155, 34
156, 156, 34
157, 157, 36
158, 158, 34
159, 159, 34
160, 160, 34
161, 161, 192
162, 162, 34
163, 163, 34
164, 164, 34
165, 165, 36
166, 166, 34
167, 167, 34
168, 168, 34
169, 169, 192
170, 170, 34
171, 171, 34
172, 172, 34
173, 173, 36
174, 174, 34
175, 175, 34
176, 176, 34
177, 177, 193
178, 178, 34
179, 179, 34
180, 180, 34
181, 181, 36
182, 182, 34
183, 183, 34
184, 184, 34
185, 185, 192
186, 186, 34
187, 187, 34
188, 188, 34
189, 189, 36
190, 190, 34
191, 191, 34
192, 192, 34
193, 193, 190
194, 194, 34
195, 195, 34
196, 196, 34
197, 197, 36
198, 198, 34
199, 199, 34
200, 200, 34
201, 201, 189
202, 202, 34
203, 203, 34
204, 204, 34
205, 205, 36
206, 206, 34
207, 207, 34
208, 208, 34
209, 209, 189
210, 210, 34
211, 211, 34
212, 212, 34
213, 213, 36
214, 214, 34
215, 215, 34
216, 216, 34
217, 217, 190
218, 218, 34
219, 219, 34
220, 220, 34
221, 221, 36
222, 222, 34
223, 223, 34
224, 224, 34
225, 225, 188
226, 226, 34
227, 227, 34
228, 228, 34
229, 229, 36
230, 230, 34
231, 231, 34
232, 232, 34
233, 233, 190
234, 234, 34
235, 235, 34
236, 236, 34
237, 237, 36
238, 238, 34
239, 239, 34
240, 240, 34
241, 241, 189
242, 242, 34
243, 243, 34
244, 244, 34
245, 245, 36
246, 246, 34
247, 247, 34
248, 248, 34
249, 249, 190
250, 250, 34
251, 251, 34
252, 252, 34
253, 253, 36
254, 254, 34
255, 255, 34
256, 256, 34
257, 257, 192
258, 258, 34
259, 259, 34
260, 260, 34
261, 261, 36
262, 262, 34
263, 263, 34
264, 264, 34
265, 265, 193
266, 266, 34
267, 267, 34
268, 268, 34
269, 269, 36
270, 270, 34
271, 271, 34
272, 272, 34
273, 273, 193
274, 274, 34
275, 275, 34
276, 276, 34
277, 277, 36
278, 278, 34
279, 279, 34
280, 280, 34
281, 281, 192
282, 282, 34
283, 283, 34
284, 284, 34
285, 285, 36
286, 286, 34
287, 287, 34
288, 288, 34
289, 289, 192
290, 290, 34
291, 291, 34
292, 292, 34
293, 293, 36
294, 294, 34
295, 295, 34
296, 296, 34
297, 297, 192
298, 298, 34
299, 299, 34
300, 300, 34
301, 301, 36
302, 302, 34
303, 303, 34
304, 304, 34
305, 305, 192
306, 306, 34
307, 307, 34
308, 308, 34
309, 309, 36
310, 310, 34
311, 311, 34
312, 312, 34
313, 313, 192
314, 314, 34
315, 315, 34
316, 316, 34
317, 317, 36
318, 318, 34
319, 319, 34
320, 320, 34
321, 321, 187
322, 322, 34
323, 323, 34
324, 324, 34
325, 325, 36
326, 326, 34
327, 327, 34
328, 328, 34
329, 329, 188
330, 330, 34
331, 331, 34
332, 332, 34
333, 333, 36
334, 334, 34
335, 335, 34
336, 336, 34
337, 337, 188
338, 338, 34
339, 339, 34
340, 340, 34
341, 341, 36
342, 342, 34
343, 343, 34
344, 344, 34
345, 345, 188
346, 346, 34
347, 347, 34
348, 348, 34
349, 349, 36
350, 350, 34
351, 351, 34
352, 352, 34
353, 353, 188
354, 354, 34
355, 355, 34
356, 356, 34
357, 357, 36
358, 358, 34
359, 359, 34
360, 360, 34
361, 361, 188
362, 362, 34
363, 363, 34
364, 364, 34
365, 365, 36
366, 366, 34
367, 367, 34
368, 368, 34
369, 369, 189
370, 370, 34
371, 371, 34
372, 372, 34
373, 373, 36
374, 374, 34
375, 375, 34
376, 376, 34
377, 377, 187
378, 378, 34
379, 379, 34
380, 380, 34
381, 381, 36
382, 382, 34
383, 383, 34
384, 384, 34
385, 385, 192
386, 386, 34
387, 387, 34
388, 388, 34
389, 389, 36
390, 390, 34
391, 391, 34
392, 392, 34
393, 393, 192
394, 394, 34
395, 395, 34
396, 396, 34
397, 397, 36
398, 398, 34
399, 399, 34
400, 400, 34
401, 401, 193
402, 402, 34
403, 403, 34
404, 404, 34
405, 405, 36
406, 406, 34
407, 407, 34
408, 408, 34
409, 409, 193
410, 410, 34
411, 411, 34
412, 412, 34
413, 413, 36
414, 414, 34
415, 415, 34
416, 416, 34
417, 417, 193
418, 418, 34
419, 419, 34
420, 420, 34
421, 421, 36
422, 422, 34
423, 423, 34
424, 424, 34
425, 425, 193
426, 426, 34
427, 427, 34
428, 428, 34
429, 429, 36
430, 430, 34
431, 431, 34
432, 432, 34
433, 433, 192
434, 434, 34
435, 435, 34
436, 436, 34
437, 437, 36
438, 438, 34
439, 439, 34
440, 440, 34
441, 441, 193
442, 442, 34
443, 443, 34
444, 444, 34
445, 445, 36
446, 446, 34
447, 447, 34
448, 448, 34
449, 449, 188
450, 450, 34
451, 451, 34
452, 452, 34
453, 453, 36
454, 454, 34
455, 455, 34
456, 456, 34
457, 457, 188
458, 458, 34
459, 459, 34
460, 460, 34
461, 461, 36
462, 462, 34
463, 463, 34
464, 464, 34
465, 465, 187
466, 466, 34
467, 467, 34
468, 468, 34
469, 469, 36
470, 470, 34
471, 471, 34
472, 472, 34
473, 473, 188
474, 474, 34
475, 475, 34
476, 476, 34
477, 477, 36
478, 478, 34
479, 479, 34
480, 480, 34
481, 481, 188
482, 482, 34
483, 483, 34
484, 484, 34
485, 485, 36
486, 486, 34
487, 487, 34
488, 488, 34
489, 489, 188
490, 490, 34
491, 491, 34
492, 492, 34
493, 493, 36
494, 494, 34
495, 495, 34
496, 496, 34
497, 497, 188
498, 498, 34
499, 499, 34
500, 500, 34
501, 501, 36
502, 502, 34
503, 503, 34
504, 504, 34
505, 505, 188
506, 506, 34
507, 507, 34
508, 508, 34
509, 509, 36
510, 510, 34
511, 511, 34
512, 512, 34
513, 513, 195
514, 514, 34
515, 515, 34
516, 516, 34
517, 517, 36
518, 518, 34
519, 519, 34
520, 520, 34
521, 521, 193
522, 522, 34
523, 523, 34
524, 524, 34
525, 525, 36
526, 526, 34
527, 527, 34
528, 528, 34
529, 529, 194
530, 530, 34
531, 531, 34
532, 532, 34
533, 533, 36
534, 534, 34
535, 535, 34
536, 536, 34
537, 537, 195
538, 538, 34
539, 539, 34
540, 540, 34
541, 541, 36
542, 542, 34
543, 543, 34
544, 544, 34
545, 545, 195
546, 546, 34
547, 547, 34
548, 548, 34
549, 549, 36
550, 550, 34
551, 551, 34
552, 552, 34
553, 553, 194
554, 554, 34
555, 555, 34
556, 556, 34
557, 557, 36
558, 558, 34
559, 559, 34
560, 560, 34
561, 561, 193
562, 562, 34
563, 563, 34
564, 564, 34
565, 565, 36
566, 566, 34
567, 567, 34
568, 568, 34
569, 569, 194
570, 570, 34
571, 571, 34
572, 572, 34
573, 573, 36
574, 574, 34
575, 575, 34
576, 576, 34
577, 577, 190
578, 578, 34
579, 579, 34
580, 580, 34
581, 581, 36
582, 582, 34
583, 583, 34
584, 584, 34
585, 585, 191
586, 586, 34
