A, Index, Time
1, 1, 302
2, 2, 190
3, 3, 191
4, 4, 191
5, 5, 192
6, 6, 191
7, 7, 190
8, 8, 191
9, 9, 192
10, 10, 191
11, 11, 191
12, 12, 191
13, 13, 193
14, 14, 190
15, 15, 191
16, 16, 190
17, 17, 193
18, 18, 191
19, 19, 190
20, 20, 191
21, 21, 192
22, 22, 190
23, 23, 190
24, 24, 190
25, 25, 193
26, 26, 191
27, 27, 190
28, 28, 191
29, 29, 193
30, 30, 189
31, 31, 191
32, 32, 191
33, 33, 192
34, 34, 191
35, 35, 191
36, 36, 190
37, 37, 193
38, 38, 190
39, 39, 190
40, 40, 191
41, 41, 192
42, 42, 191
43, 43, 190
44, 44, 191
45, 45, 193
46, 46, 190
47, 47, 191
48, 48, 191
49, 49, 192
50, 50, 191
51, 51, 189
52, 52, 191
53, 53, 191
54, 54, 191
55, 55, 190
56, 56, 191
57, 57, 192
58, 58, 190
59, 59, 192
60, 60, 190
61, 61, 193
62, 62, 190
63, 63, 190
64, 64, 190
65, 65, 189
66, 66, 188
67, 67, 186
68, 68, 187
69, 69, 188
70, 70, 188
71, 71, 186
72, 72, 187
73, 73, 188
74, 74, 187
75, 75, 186
76, 76, 188
77, 77, 190
78, 78, 187
79, 79, 188
80, 80, 186
81, 81, 190
82, 82, 186
83, 83, 188
84, 84, 188
85, 85, 189
86, 86, 187
87, 87, 186
88, 88, 188
89, 89, 188
90, 90, 187
91, 91, 186
92, 92, 188
93, 93, 188
94, 94, 187
95, 95, 186
96, 96, 187
97, 97, 189
98, 98, 187
99, 99, 187
100, 100, 187
101, 101, 189
102, 102, 186
103, 103, 188
104, 104, 186
105, 105, 189
106, 106, 187
107, 107, 186
108, 108, 187
109, 109, 189
110, 110, 187
111, 111, 187
112, 112, 187
113, 113, 190
114, 114, 186
115, 115, 188
116, 116, 186
117, 117, 189
118, 118, 187
119, 119, 187
120, 120, 187
121, 121, 188
122, 122, 187
123, 123, 186
124, 124, 188
125, 125, 188
126, 126, 187
127, 127, 187
128, 128, 188
129, 129, 192
130, 130, 190
131, 131, 191
132, 132, 189
133, 133, 192
134, 134, 190
135, 135, 190
136, 136, 191
137, 137, 192
138, 138, 191
139, 139, 190
140, 140, 190
141, 141, 192
142, 142, 190
143, 143, 190
144, 144, 190
145, 145, 192
146, 146, 191
147, 147, 190
148, 148, 191
149, 149, 192
150, 150, 191
151, 151, 190
152, 152, 190
153, 153, 193
154, 154, 190
155, 155, 191
156, 156, 189
157, 157, 193
158, 158, 191
159, 159, 190
160, 160, 191
161, 161, 192
162, 162, 191
163, 163, 190
164, 164, 191
165, 165, 193
166, 166, 190
167, 167, 191
168, 168, 190
169, 169, 193
170, 170, 191
171, 171, 191
172, 172, 190
173, 173, 193
174, 174, 189
175, 175, 191
176, 176, 190
177, 177, 192
178, 178, 191
179, 179, 190
180, 180, 191
181, 181, 192
182, 182, 191
183, 183, 190
184, 184, 191
185, 185, 193
186, 186, 189
187, 187, 191
188, 188, 190
189, 189, 193
190, 190, 191
191, 191, 190
192, 192, 191
193, 193, 188
194, 194, 187
195, 195, 187
196, 196, 187
197, 197, 189
198, 198, 186
199, 199, 187
200, 200, 187
201, 201, 188
202, 202, 187
203, 203, 186
204, 204, 187
205, 205, 189
206, 206, 186
207, 207, 188
208, 208, 186
209, 209, 190
210, 210, 187
211, 211, 187
212, 212, 188
213, 213, 188
214, 214, 187
215, 215, 187
216, 216, 188
217, 217, 189
218, 218, 187
219, 219, 188
220, 220, 187
221, 221, 190
222, 222, 186
223, 223, 188
224, 224, 187
225, 225, 189
226, 226, 188
227, 227, 186
228, 228, 187
229, 229, 189
230, 230, 186
231, 231, 187
232, 232, 186
233, 233, 189
234, 234, 187
235, 235, 186
236, 236, 187
237, 237, 189
238, 238, 187
239, 239, 188
240, 240, 187
241, 241, 189
242, 242, 187
243, 243, 187
244, 244, 188
245, 245, 188
246, 246, 188
247, 247, 187
248, 248, 187
249, 249, 189
250, 250, 186
251, 251, 188
252, 252, 186
253, 253, 189
254, 254, 188
255, 255, 186
256, 256, 187
257, 257, 192
258, 258, 190
259, 259, 191
260, 260, 190
261, 261, 193
262, 262, 189
263, 263, 191
264, 264, 189
265, 265, 193
266, 266, 190
267, 267, 190
268, 268, 191
269, 269, 192
270, 270, 191
271, 271, 191
272, 272, 190
273, 273, 193
274, 274, 191
275, 275, 190
276, 276, 191
277, 277, 191
278, 278, 191
279, 279, 189
280, 280, 191
281, 281, 193
282, 282, 191
283, 283, 190
284, 284, 191
285, 285, 192
286, 286, 191
287, 287, 190
288, 288, 190
289, 289, 192
290, 290, 190
291, 291, 190
292, 292, 190
293, 293, 193
294, 294, 189
295, 295, 191
296, 296, 190
297, 297, 193
298, 298, 191
299, 299, 191
300, 300, 191
301, 301, 192
302, 302, 191
303, 303, 190
304, 304, 191
305, 305, 193
306, 306, 190
307, 307, 191
308, 308, 189
309, 309, 193
310, 310, 191
311, 311, 190
312, 312, 191
313, 313, 193
314, 314, 190
315, 315, 191
316, 316, 190
317, 317, 192
318, 318, 191
319, 319, 189
320, 320, 191
321, 321, 187
322, 322, 186
323, 323, 184
324, 324, 186
325, 325, 188
326, 326, 185
327, 327, 186
328, 328, 185
329, 329, 187
330, 330, 186
331, 331, 184
332, 332, 186
333, 333, 187
334, 334, 186
335, 335, 185
336, 336, 187
337, 337, 187
338, 338, 186
339, 339, 185
340, 340, 187
341, 341, 188
342, 342, 185
343, 343, 186
344, 344, 185
345, 345, 188
346, 346, 186
347, 347, 185
348, 348, 185
349, 349, 187
350, 350, 186
351, 351, 184
352, 352, 186
353, 353, 187
354, 354, 186
355, 355, 187
356, 356, 185
357, 357, 188
358, 358, 187
359, 359, 186
360, 360, 186
361, 361, 188
362, 362, 185
363, 363, 186
364, 364, 186
365, 365, 187
366, 366, 186
367, 367, 184
368, 368, 186
369, 369, 188
370, 370, 186
371, 371, 185
372, 372, 186
373, 373, 188
374, 374, 186
375, 375, 186
376, 376, 185
377, 377, 188
378, 378, 185
379, 379, 186
380, 380, 186
381, 381, 187
382, 382, 186
383, 383, 185
384, 384, 186
385, 385, 192
386, 386, 191
387, 387, 191
388, 388, 189
389, 389, 193
390, 390, 191
391, 391, 190
392, 392, 191
393, 393, 192
394, 394, 190
395, 395, 190
396, 396, 191
397, 397, 193
398, 398, 190
399, 399, 190
400, 400, 190
401, 401, 193
402, 402, 191
403, 403, 190
404, 404, 191
405, 405, 192
406, 406, 191
407, 407, 190
408, 408, 191
409, 409, 192
410, 410, 190
411, 411, 191
412, 412, 191
413, 413, 193
414, 414, 189
415, 415, 191
416, 416, 190
417, 417, 192
418, 418, 190
419, 419, 191
420, 420, 189
421, 421, 193
422, 422, 189
423, 423, 191
424, 424, 190
425, 425, 192
426, 426, 191
427, 427, 190
428, 428, 191
429, 429, 192
430, 430, 191
431, 431, 189
432, 432, 191
433, 433, 193
434, 434, 191
435, 435, 191
436, 436, 191
437, 437, 193
438, 438, 189
439, 439, 191
440, 440, 189
441, 441, 193
442, 442, 189
443, 443, 191
444, 444, 189
445, 445, 193
446, 446, 190
447, 447, 191
448, 448, 191
449, 449, 186
450, 450, 186
451, 451, 185
452, 452, 187
453, 453, 188
454, 454, 185
455, 455, 186
456, 456, 185
457, 457, 188
458, 458, 185
459, 459, 186
460, 460, 186
461, 461, 187
462, 462, 186
463, 463, 185
464, 464, 185
465, 465, 187
466, 466, 186
467, 467, 185
468, 468, 186
469, 469, 188
470, 470, 185
471, 471, 185
472, 472, 186
473, 473, 187
474, 474, 186
475, 475, 186
476, 476, 186
477, 477, 188
478, 478, 185
479, 479, 186
480, 480, 185
481, 481, 188
482, 482, 185
483, 483, 186
484, 484, 185
485, 485, 188
486, 486, 186
487, 487, 186
488, 488, 185
489, 489, 187
490, 490, 187
491, 491, 185
492, 492, 186
493, 493, 188
494, 494, 186
495, 495, 186
496, 496, 186
497, 497, 188
498, 498, 186
499, 499, 186
500, 500, 185
501, 501, 187
502, 502, 186
503, 503, 185
504, 504, 186
505, 505, 187
506, 506, 186
507, 507, 185
508, 508, 186
509, 509, 188
510, 510, 185
511, 511, 186
512, 512, 185
513, 513, 195
514, 514, 193
515, 515, 191
516, 516, 193
517, 517, 194
518, 518, 193
519, 519, 193
520, 520, 192
521, 521, 195
522, 522, 192
523, 523, 193
524, 524, 191
525, 525, 195
526, 526, 191
527, 527, 194
528, 528, 193
529, 529, 194
530, 530, 193
531, 531, 192
532, 532, 193
533, 533, 194
534, 534, 193
535, 535, 192
536, 536, 194
537, 537, 194
538, 538, 193
539, 539, 193
540, 540, 192
541, 541, 195
542, 542, 191
543, 543, 193
544, 544, 192
545, 545, 194
546, 546, 193
547, 547, 192
548, 548, 193
549, 549, 194
550, 550, 193
551, 551, 192
552, 552, 193
553, 553, 194
554, 554, 193
555, 555, 193
556, 556, 192
557, 557, 195
558, 558, 193
559, 559, 191
560, 560, 193
561, 561, 194
562, 562, 192
563, 563, 193
564, 564, 192
565, 565, 195
566, 566, 192
567, 567, 193
568, 568, 193
569, 569, 194
570, 570, 193
571, 571, 193
572, 572, 193
573, 573, 194
574, 574, 192
575, 575, 193
576, 576, 192
577, 577, 191
578, 578, 189
579, 579, 188
580, 580, 189
581, 581, 190
582, 582, 188
583, 583, 189
584, 584, 189
585, 585, 191
586, 586, 188
587, 587, 189
588, 588, 189
589, 589, 191
590, 590, 188
591, 591, 189
592, 592, 187
593, 593, 190
594, 594, 188
595, 595, 189
596, 596, 188
597, 597, 191
598, 598, 187
599, 599, 189
600, 600, 188
601, 601, 189
602, 602, 189
603, 603, 187
604, 604, 189
605, 605, 190
606, 606, 189
607, 607, 188
608, 608, 188
609, 609, 191
610, 610, 189
611, 611, 188
612, 612, 188
613, 613, 190
614, 614, 188
615, 615, 188
616, 616, 189
617, 617, 191
618, 618, 189
619, 619, 188
620, 620, 188
621, 621, 190
622, 622, 189
623, 623, 189
624, 624, 188
625, 625, 191
626, 626, 187
627, 627, 189
628, 628, 188
629, 629, 190
630, 630, 189
631, 631, 189
632, 632, 189
633, 633, 190
634, 634, 189
635, 635, 187
636, 636, 189
637, 637, 190
638, 638, 189
639, 639, 189
640, 640, 189
641, 641, 194
642, 642, 193
643, 643, 192
644, 644, 193
645, 645, 195
646, 646, 192
647, 647, 193
648, 648, 193
649, 649, 195
650, 650, 192
651, 651, 193
652, 652, 192
653, 653, 194
654, 654, 193
655, 655, 193
656, 656, 193
657, 657, 195
658, 658, 192
659, 659, 193
660, 660, 193
661, 661, 194
662, 662, 192
663, 663, 193
664, 664, 193
665, 665, 195
666, 666, 191
667, 667, 192
668, 668, 192
669, 669, 195
670, 670, 192
671, 671, 193
672, 672, 193
673, 673, 195
674, 674, 192
675, 675, 193
676, 676, 192
677, 677, 195
678, 678, 191
679, 679, 193
680, 680, 192
681, 681, 195
682, 682, 193
683, 683, 192
684, 684, 193
685, 685, 194
686, 686, 193
687, 687, 193
688, 688, 192
689, 689, 195
690, 690, 193
691, 691, 192
692, 692, 193
693, 693, 194
694, 694, 193
695, 695, 193
696, 696, 192
697, 697, 194
698, 698, 192
699, 699, 193
700, 700, 192
701, 701, 195
702, 702, 192
703, 703, 192
704, 704, 193
705, 705, 190
706, 706, 189
707, 707, 188
708, 708, 188
709, 709, 191
710, 710, 188
711, 711, 189
712, 712, 189
713, 713, 190
714, 714, 189
715, 715, 187
716, 716, 189
717, 717, 190
718, 718, 188
719, 719, 188
720, 720, 189
721, 721, 191
722, 722, 188
723, 723, 189
724, 724, 188
725, 725, 191
726, 726, 189
727, 727, 188
728, 728, 189
729, 729, 191
730, 730, 188
731, 731, 189
732, 732, 187
733, 733, 190
734, 734, 188
735, 735, 189
736, 736, 187
737, 737, 191
738, 738, 187
739, 739, 189
740, 740, 188
741, 741, 190
742, 742, 189
743, 743, 187
744, 744, 189
745, 745, 190
746, 746, 188
747, 747, 188
748, 748, 188
749, 749, 191
750, 750, 188
751, 751, 189
752, 752, 188
753, 753, 191
754, 754, 189
755, 755, 188
756, 756, 189
757, 757, 190
758, 758, 189
759, 759, 187
760, 760, 189
761, 761, 190
762, 762, 189
763, 763, 188
764, 764, 189
765, 765, 190
766, 766, 189
767, 767, 189
768, 768, 188
769, 769, 194
770, 770, 192
771, 771, 192
772, 772, 192
773, 773, 193
774, 774, 192
775, 775, 191
776, 776, 193
777, 777, 194
778, 778, 191
779, 779, 193
780, 780, 190
781, 781, 195
782, 782, 191
783, 783, 193
784, 784, 192
785, 785, 193
786, 786, 192
787, 787, 191
788, 788, 192
789, 789, 194
790, 790, 191
791, 791, 192
792, 792, 192
793, 793, 192
794, 794, 192
795, 795, 192
796, 796, 191
797, 797, 194
798, 798, 191
799, 799, 192
800, 800, 191
801, 801, 194
802, 802, 191
803, 803, 192
804, 804, 191
805, 805, 194
806, 806, 192
807, 807, 192
808, 808, 192
809, 809, 194
810, 810, 193
811, 811, 192
812, 812, 192
813, 813, 194
814, 814, 191
815, 815, 193
816, 816, 191
817, 817, 194
818, 818, 191
819, 819, 192
820, 820, 192
821, 821, 193
822, 822, 193
823, 823, 192
824, 824, 192
825, 825, 194
826, 826, 191
827, 827, 193
828, 828, 191
829, 829, 193
830, 830, 192
831, 831, 191
832, 832, 192
833, 833, 189
834, 834, 185
835, 835, 186
836, 836, 185
837, 837, 188
838, 838, 185
839, 839, 186
840, 840, 184
841, 841, 188
842, 842, 185
843, 843, 186
844, 844, 186
845, 845, 188
846, 846, 186
847, 847, 185
848, 848, 186
849, 849, 187
850, 850, 186
851, 851, 186
852, 852, 185
853, 853, 188
854, 854, 185
855, 855, 186
856, 856, 186
857, 857, 187
858, 858, 186
859, 859, 185
860, 860, 187
861, 861, 188
862, 862, 185
863, 863, 186
864, 864, 185
865, 865, 186
866, 866, 186
867, 867, 185
868, 868, 186
869, 869, 187
870, 870, 186
871, 871, 186
872, 872, 186
873, 873, 188
874, 874, 185
875, 875, 186
876, 876, 186
877, 877, 187
878, 878, 186
879, 879, 186
880, 880, 186
881, 881, 188
882, 882, 186
883, 883, 185
884, 884, 186
885, 885, 187
886, 886, 186
887, 887, 186
888, 888, 185
889, 889, 188
890, 890, 184
891, 891, 186
892, 892, 185
893, 893, 188
894, 894, 184
895, 895, 186
896, 896, 185
897, 897, 194
898, 898, 192
899, 899, 191
900, 900, 192
901, 901, 194
902, 902, 191
903, 903, 193
904, 904, 190
905, 905, 193
906, 906, 192
907, 907, 191
908, 908, 193
909, 909, 194
910, 910, 191
911, 911, 192
912, 912, 191
913, 913, 194
914, 914, 192
915, 915, 191
916, 916, 193
917, 917, 195
918, 918, 191
919, 919, 193
920, 920, 191
921, 921, 194
922, 922, 192
923, 923, 192
