Method, Size, Time
CudaMemcpy, 32, 74480.000000
CudaMemcpy, 64, 1916.000000
CudaMemcpy, 128, 1833.000000
CudaMemcpy, 256, 2199.000000
CudaMemcpy, 512, 1932.000000
CudaMemcpy, 1024, 1800.000000
CudaMemcpy, 2048, 1530.000000
CudaMemcpy, 4096, 2063.000000
CudaMemcpy, 8192, 1687.000000
CudaMemcpy, 16384, 1790.000000
CudaMemcpy, 32768, 2255.000000
CudaMemcpy, 65536, 3156.000000
CudaMemcpy, 131072, 2806.000000
CudaMemcpy, 262144, 4152.000000
CudaMemcpy, 524288, 7850.000000
CudaMemcpy, 1048576, 14673.000000
CudaMemcpy, 2097152, 23639.000000
CudaMemcpy, 4194304, 41044.000000
CudaMemcpy, 8388608, 87164.000000
CudaMemcpy, 16777216, 157620.000000
CudaMemcpy, 33554432, 310185.000000
CudaMemcpy, 67108864, 606453.000000
CudaMemcpy, 134217728, 1253240.000000
cudaHostAlloc, 32, 1420.000000
cudaHostAlloc, 64, 1177.000000
cudaHostAlloc, 128, 1178.000000
cudaHostAlloc, 256, 1132.000000
cudaHostAlloc, 512, 1118.000000
cudaHostAlloc, 1024, 1125.000000
cudaHostAlloc, 2048, 1117.000000
cudaHostAlloc, 4096, 1110.000000
cudaHostAlloc, 8192, 1159.000000
cudaHostAlloc, 16384, 1326.000000
cudaHostAlloc, 32768, 1459.000000
cudaHostAlloc, 65536, 1627.000000
cudaHostAlloc, 131072, 2036.000000
cudaHostAlloc, 262144, 2784.000000
cudaHostAlloc, 524288, 5176.000000
cudaHostAlloc, 1048576, 9303.000000
cudaHostAlloc, 2097152, 16659.000000
cudaHostAlloc, 4194304, 34110.000000
cudaHostAlloc, 8388608, 64565.000000
cudaHostAlloc, 16777216, 141010.000000
cudaHostAlloc, 33554432, 251243.000000
cudaHostAlloc, 67108864, 509813.000000
cudaHostAlloc, 134217728, 1048999.000000
cudaMallocManaged, 32, 1191.000000
cudaMallocManaged, 64, 965.000000
cudaMallocManaged, 128, 878.000000
cudaMallocManaged, 256, 830.000000
cudaMallocManaged, 512, 1005.000000
cudaMallocManaged, 1024, 847.000000
cudaMallocManaged, 2048, 833.000000
cudaMallocManaged, 4096, 841.000000
cudaMallocManaged, 8192, 877.000000
cudaMallocManaged, 16384, 1028.000000
cudaMallocManaged, 32768, 1421.000000
cudaMallocManaged, 65536, 1393.000000
cudaMallocManaged, 131072, 1964.000000
cudaMallocManaged, 262144, 3002.000000
cudaMallocManaged, 524288, 4621.000000
cudaMallocManaged, 1048576, 8451.000000
cudaMallocManaged, 2097152, 15568.000000
cudaMallocManaged, 4194304, 30115.000000
cudaMallocManaged, 8388608, 57259.000000
cudaMallocManaged, 16777216, 111964.000000
cudaMallocManaged, 33554432, 220781.000000
cudaMallocManaged, 67108864, 432964.000000
cudaMallocManaged, 134217728, 856234.000000
